Lat,Lng,Country,City,Max Temp,Humidity,Cloudiness,Wind Speed
65.58,-171,RU,lavrentiya,22.73,89,46,11.9
-46.13,167.68,NZ,tuatapere,57,77,100,5.99
30.19,116.03,CN,huangmei,71.33,52,0,5.91
68.05,166.44,RU,bilibino,6.53,95,93,3.4
65.44,52.15,RU,ust-tsilma,27.77,86,100,9.71
-31.41,-64.18,AR,cordoba,62.01,93,79,5.82
65.42,-52.9,GL,maniitsoq,18.23,65,100,23.71
-33.7,-53.46,UY,chuy,67.91,83,100,14.5
-9.01,-35.22,BR,maragogi,82.67,80,100,14.18
-2.92,-39.92,BR,itarema,74.21,96,43,3.24
15.44,119.9,PH,palauig,81.23,65,37,5.64
77.48,-69.36,GL,qaanaaq,-19.03,57,96,7.99
42.06,59.38,TM,akdepe,53.6,54,90,9.17
41.71,-70.23,US,yarmouth,44.6,70,1,11.41
-33.02,27.91,ZA,east london,68,77,0,4.7
67.8,130.41,RU,batagay-alyta,-5.89,88,32,2.73
13.22,-59.52,BB,bathsheba,77,73,40,14.99
-8.93,125.41,TL,airai,79.97,52,5,6.6
10.33,98.83,TH,chumphon,91.4,52,20,9.17
35.13,140.3,JP,katsuura,66,58,20,6.93
-13.85,136.42,AU,alyangula,91.4,49,40,12.75
18.39,42.45,SA,faya,62.6,88,40,13.87
63.76,121.62,RU,vilyuysk,-5.71,89,0,4.7
7.53,-12.51,SL,bonthe,79.43,83,30,7.49
-2.53,112.95,ID,sampit,95.09,43,22,3.38
36.42,54.98,IR,shahrud,51.17,74,62,7.45
-8.26,-49.26,BR,conceicao do araguaia,78.8,83,31,5.82
-20.52,57.52,MU,souillac,82.4,78,40,6.93
57.51,72.4,RU,tevriz,28.13,79,100,12.68
-12.1,26.43,ZM,kansanshi,64.31,98,97,4.94
-4.11,-81.05,PE,mancora,77.99,78,100,1.86
59.06,80.86,RU,kargasok,30.29,89,99,20.51
14.4,46.47,YE,marzuq,81.05,39,86,5.5
-22.97,-42.03,BR,arraial do cabo,69.8,100,0,13.42
68.22,-135.01,CA,aklavik,12.2,85,20,6.93
-13.7,-76.22,PE,pisco,73.4,78,95,5.82
12.35,32.18,SD,marabba,79.61,13,93,14.23
-24.87,113.63,AU,carnarvon,80.6,61,100,23.04
12.58,-81.7,CO,san andres,80.6,78,40,9.17
-7.33,-75.02,PE,contamana,72.95,98,100,1.88
62.14,117.63,RU,suntar,7.43,85,100,3.13
-10.07,-78.15,PE,huarmey,71.87,71,99,0.83
-37.62,-73.65,CL,lebu,51.17,97,4,4.45
59.58,151.28,RU,ola,14.09,80,10,2.59
29.98,120.57,CN,jianhu,75.2,38,40,4.47
78.22,15.64,SJ,longyearbyen,-18.4,68,20,9.17
50.63,-96.99,CA,gimli,12.99,76,100,9.75
-5.79,-35.21,BR,natal,78.8,83,40,4.7
-32.41,-63.24,AR,villa maria,61,98,32,1.99
-33.73,-70.75,CL,buin,62.6,59,0,4.7
20.5,-10.07,MR,adrar,61.61,31,21,9.51
35.39,-94.4,US,fort smith,54,93,90,13.87
-17.53,-149.33,PF,tiarei,84.2,74,75,2.24
12.35,29.25,SD,abu zabad,77.99,14,69,20.6
66.53,66.6,RU,salekhard,21.65,85,86,15.7
41.63,48.68,AZ,xudat,35.87,67,68,3.87
3.94,41.87,KE,mandera,86.27,44,14,9.44
18.73,-103.68,MX,coahuayana,69.71,78,0,4.47
-23.38,150.5,AU,rockhampton,84.2,45,29,9.17
62.46,-114.35,CA,yellowknife,-9,76,20,4.7
-29.95,-71.34,CL,coquimbo,57.2,87,0,4.7
50.8,42.01,RU,uryupinsk,36,56,2,4.7
41.14,-73.36,US,westport,48.2,60,1,8.05
60.14,-45.24,GL,nanortalik,22.37,56,46,4.9
39.18,-84.53,US,hamilton,42.01,89,1,3.11
-5.25,14.87,CD,mbanza-ngungu,70.79,92,97,2.59
11.67,92.75,IN,port blair,83.57,62,61,10.02
-42.88,147.33,AU,hobart,71.6,49,75,10.29
44.9,-89.77,US,marathon,37.4,82,90,5.55
47.67,-52.73,CA,torbay,32,74,75,20.8
-28.45,21.26,ZA,upington,68,82,0,12.75
-16.37,-58.4,BO,san matias,75.83,86,75,4.99
44.55,-70.55,US,rumford,35.6,64,90,8.05
38.93,100.45,CN,zhangye,57.11,12,15,16.69
63.75,-68.51,CA,iqaluit,15.8,92,90,4.7
26.19,107.51,CN,xiaoweizhai,60.71,73,82,2.75
29.8,-109.67,MX,moctezuma,55.67,54,6,6.44
59.7,30.79,RU,nikolskoye,39.2,86,90,15.66
-41.07,145.92,AU,burnie,66.99,80,100,8.01
30.8,108.39,CN,wanxian,70.07,44,0,1.86
4.14,96.13,ID,meulaboh,84.29,71,58,4.74
-6.88,112.21,ID,labuhan,86.99,68,59,10
61.67,96.37,RU,baykit,16.79,91,100,12.77
32.67,-17.1,PT,ponta do sol,60.8,59,40,12.75
-33.92,25.57,ZA,port elizabeth,64.4,88,0,16.11
64.25,-15.21,IS,hofn,35.15,96,97,31.74
50.68,156.12,RU,severo-kurilsk,20.21,90,100,16.55
-28.65,153.62,AU,byron bay,78.01,65,33,10.29
-3.67,152.43,PG,namatanai,84.65,71,79,4.27
43.8,87.6,CN,urumqi,62.6,17,93,2.24
69.49,88.4,RU,talnakh,12.2,92,75,31.32
-0.91,122.88,ID,biak,85.19,72,43,13.35
39.45,-86.18,US,bud,44.01,100,1,6.93
22.29,114.16,HK,victoria,75,88,40,4.7
64.5,-165.41,US,nome,30.2,92,90,14.99
31.45,12.98,LY,mizdah,50.27,88,98,23.22
-27.85,26.37,ZA,wesselsbron,55.99,94,11,7.36
63.05,179.32,RU,beringovskiy,28.85,90,99,6.35
21.35,-158.09,US,makakilo city,75.2,88,75,13.87
19.22,-104.7,MX,san patricio,74.93,81,0,4.09
40.28,97.2,CN,yumen,59.09,11,33,17.94
25.21,64.64,PK,ormara,76.73,60,0,1.99
-28.78,32.04,ZA,richards bay,72.23,70,58,26.73
-3.77,-61.64,BR,anori,74.93,96,100,2.04
-21.64,-41.05,BR,sao joao da barra,76.55,88,100,4.5
63.18,14.64,SE,ostersund,30.2,68,80,10.29
-1.57,9.26,GA,omboue,76.19,94,99,2.71
-10.21,-48.36,BR,palmas,77,88,40,6.93
9.54,99.94,TH,ko samui,89.6,59,20,8.05
5.38,-52.95,GF,sinnamary,79.97,82,6,12.95
21.39,-158.15,US,nanakuli,75.2,88,75,13.87
-17,145.43,AU,mareeba,80.6,69,90,12.75
32.32,121.19,CN,juegang,77,33,1,12.75
-10.71,22.22,AO,luau,67.01,94,100,1.95
-0.72,8.78,GA,port-gentil,80.6,94,75,3.36
18.74,7.39,NE,arlit,76.19,9,0,8.97
17.02,54.09,OM,salalah,78.8,65,75,9.17
-5.17,105.7,ID,jepara,87.89,67,86,5.84
65.85,74.49,RU,pangody,14.45,87,25,16.84
4.85,31.58,SS,juba,83.57,50,100,4.63
-3.55,143.63,PG,wewak,83.39,74,77,10.78
15.17,44.32,YE,sayyan,68.45,37,97,5.84
56.67,96.06,RU,aban,34.61,100,100,18.57
54.37,81.9,RU,ordynskoye,26.51,91,93,18.9
31.67,20.25,LY,suluq,50.81,55,0,11.34
53.75,62.07,KZ,komsomolets,27.77,89,0,7.74
-20.23,164.02,NC,poum,79.61,76,2,18.7
-30.18,-50.21,BR,cidreira,73.67,85,68,22.95
-2.57,150.8,PG,kavieng,79.61,87,100,15.84
57.05,-135.33,US,sitka,39.2,80,40,11.41
21.38,-77.92,CU,camaguey,69.8,94,0,8.05
-0.6,73.08,MV,hithadhoo,85.19,72,0,9.04
-20.34,57.76,MU,bambous virieux,82.4,78,40,6.93
45.41,141.67,JP,wakkanai,41,70,20,13.87
-8.27,-72.74,BR,porto walter,70.25,98,100,1.19
58.45,92.17,RU,yeniseysk,30.11,74,96,18.97
71.04,27.85,NO,mehamn,30.2,74,75,6.93
65.7,82.47,RU,krasnoselkup,21.65,91,100,14.94
-15.5,-70.13,PE,juliaca,42.17,86,98,5.3
11.54,-72.91,CO,riohacha,72.77,80,0,9.55
53.55,14.57,PL,police,46.4,61,87,4.7
69.22,-51.1,GL,ilulissat,6.8,46,96,26.4
-32.25,115.77,AU,kwinana,73,46,75,17.22
8.46,25.68,SS,raga,77.45,24,90,5.46
51.23,-58.65,CA,saint-augustin,27.41,95,100,25.95
-14.98,27.06,ZM,mumbwa,64.49,97,100,4.68
12.18,125.51,PH,san policarpo,82.13,67,82,6.8
63.28,118.33,RU,nyurba,4.01,82,84,1.23
50.46,40.11,RU,pavlovsk,38.39,51,1,3.74
-9.88,-56.09,BR,alta floresta,72.05,95,100,1.14
6.12,81.12,LK,hambantota,86,79,75,13.87
4.92,6.26,NG,yenagoa,78.53,92,100,2.24
-43.53,172.63,NZ,christchurch,59,58,0,16.11
-10.88,26.6,CD,kambove,63.05,98,100,4.18
39.01,-77.43,US,sterling,51.01,70,1,9.17
14.53,20.92,TD,biltine,76.73,12,100,17.81
-31.43,152.92,AU,port macquarie,75,56,0,9.17
-32.72,152.15,AU,nelson bay,81,60,20,10.29
18.42,84.05,IN,narasannapeta,95.99,29,0,8.59
7.04,134.26,PW,kloulklubed,86,66,75,11.41
44.39,-68.2,US,bar harbor,36,100,1,4.7
11.03,-63.86,VE,la asuncion,78.8,83,30,9.17
10.15,-85.45,CR,nicoya,80.6,61,1,16.11
29.5,78.13,IN,mandawar,79.43,39,0,10.49
32.79,-79.86,US,mount pleasant,62.01,100,75,1.68
45.48,133.42,RU,lesozavodsk,36.05,95,82,8.46
19.8,85.85,IN,puri,89.6,49,40,3.98
30.44,61.84,AF,mirabad,78.17,23,0,5.91
-17.71,-39.25,BR,caravelas,80.15,78,24,4.45
6.3,-10.8,LR,monrovia,79.79,87,53,5.53
56.56,84.08,RU,melnikovo,32,65,72,11.01
22.48,103.95,VN,lao cai,78.89,63,65,6.53
5.41,100.34,MY,georgetown,93.2,66,20,9.17
14.73,-6.12,ML,sokolo,73.31,12,75,7.23
-20.28,44.28,MG,morondava,83.75,69,0,4.21
26.35,127.87,JP,gushikawa,71.6,73,90,14.99
-21.45,-65.72,BO,tupiza,52.61,78,100,5.1
62.23,-6.59,FO,klaksvik,39.2,64,94,24.16
-16.92,145.77,AU,cairns,80.6,69,90,12.75
12.41,4.49,NG,tari,74.03,8,92,9.22
-0.5,117.15,ID,samarinda,92.93,46,56,6.8
1.74,98.78,ID,sibolga,90.05,46,16,4.52
22.82,108.32,CN,nanning,62.6,88,90,2.24
10.67,122.95,PH,bacolod,90.41,42,32,9.66
46.54,138.33,RU,svetlaya,34.79,68,36,18.12
18.69,12.92,NE,bilma,69.53,10,0,9.26
63.73,8.83,NO,sistranda,37.99,85,75,24.16
-33.01,17.94,ZA,saldanha,57.2,87,17,1.12
57.45,97.32,RU,chunoyar,26.15,95,100,14.36
33.19,-82.53,US,avera,60.01,91,1,1.74
42.78,-9.06,ES,muros,57,81,0,5.82
62.8,43.25,RU,rochegda,31.91,97,100,13.91
45.23,147.88,RU,kurilsk,34.43,64,0,7.07
9.36,17.37,TD,goundi,77.99,16,100,3.98
-34.42,19.23,ZA,hermanus,64,95,15,7.81
42.25,-75.83,US,broome,35.6,69,20,6.93
52.78,52.26,RU,buzuluk,34.97,82,0,8.41
-31.63,-60.7,AR,santa fe,69.01,96,88,4
64.3,41.92,RU,lukovetskiy,32,97,90,6.71
-9.86,124.28,ID,soe,84.83,56,14,9.42
48.65,-53.11,CA,bonavista,29.57,74,100,28.57
54.78,-127.17,CA,smithers,24.8,79,1,3.36
19.58,-88.05,MX,felipe carrillo puerto,70.43,95,5,2.46
69.7,170.31,RU,pevek,13.55,93,100,13.67
12.6,37.47,ET,gondar,71.15,26,65,5.55
-9.44,147.18,PG,port moresby,87.8,62,40,11.41
43.02,11.95,IT,chiusi,43,93,0,9.17
40.83,14.25,IT,naples,53.01,75,42,4.7
20.89,-156.47,US,kahului,71.6,94,75,5.82
37.73,-25.67,PT,ponta delgada,55.4,82,20,3.36
25.92,-109.18,MX,ahome,62.01,93,93,2.3
30.48,-115.95,MX,san quintin,58.73,62,50,7.25
46.7,-75.45,CA,ferme-neuve,20.93,80,41,6.24
53.75,127.27,RU,zeya,30.47,95,100,1.3
41.28,-70.1,US,nantucket,42.8,70,1,11.41
27.72,109.19,CN,tongren,57.65,78,81,2.21
59.53,33.92,RU,senno,36.05,91,99,11.03
-21.15,55.28,RE,saint-leu,86,69,40,3.36
-23.72,44.38,MG,betioky,78.89,53,0,9.33
62.58,6.13,NO,roald,39.2,68,97,18.34
31.67,38.66,SA,turayf,44.6,93,75,23.04
44.61,17.69,BA,pribinic,42.8,75,74,3.36
47.38,-61.86,CA,cap-aux-meules,33.89,97,100,20.71
67.47,78.7,RU,tazovskiy,11.39,92,70,16.55
5.95,80.54,LK,matara,91.13,50,97,10.89
46.68,113.28,MN,baruun-urt,26.69,69,30,13.56
44.85,34.97,UA,sudak,36.05,49,0,15.41
-4.88,-66.9,BR,carauari,72.95,98,93,0.74
54.08,21.38,PL,ketrzyn,42.35,86,43,8.9
55.31,82.74,RU,kolyvan,32,91,40,20.13
9.53,31.66,SS,malakal,83.93,11,52,6.13
8.75,38.98,ET,debre zeyit,57.2,93,90,6.93
35.18,132.5,JP,oda,60.8,48,20,18.34
23.17,72.82,IN,dahegam,86,28,0,5.82
-35.62,174.5,NZ,ngunguru,64.99,65,0,5.99
45.02,28.13,RO,peceneaga,34,86,51,2.24
50.7,-127.42,CA,port hardy,32,92,5,3.36
-19.98,57.61,MU,cap malheureux,82.4,78,40,6.93
44.36,77.98,KZ,saryozek,54.77,67,54,7.38
13.98,10.27,NE,goure,75,12,100,5.01
30.51,-87.21,US,ferry pass,72,88,40,3.36
-25.24,130.99,AU,yulara,100.4,13,0,10.29
50.2,-66.38,CA,sept-iles,25,100,90,5.82
-25.17,45.05,MG,beloha,74.03,64,63,11.56
24.14,67.45,PK,keti bandar,88.43,22,0,2.04
66.69,34.34,RU,umba,32.27,98,100,14.83
48.54,42.5,RU,oblivskaya,40.91,52,28,5.61
17.95,96.73,MM,nyaunglebin,103.01,15,0,4.68
-20.57,164.28,NC,koumac,75.47,81,44,5.77
39.08,-84.51,US,covington,42.01,80,1,3.36
56.35,78.36,RU,severnoye,31.01,90,85,14.14
-45.42,167.72,NZ,te anau,52.43,71,83,11.07
61.01,62,RU,pelym,27.59,75,25,7.83
61.28,108.01,RU,yerbogachen,10.49,86,3,7.38
11,122.67,PH,dingle,86.27,60,14,13.56
61.38,152.75,RU,talaya,5.81,87,97,5.06
-38.55,-58.74,AR,necochea,62.01,96,82,1.99
-8.47,140.33,ID,merauke,86.81,68,69,6.17
-12.38,16.93,AO,kuito,60.89,96,100,4.7
10.9,75.92,IN,tirur,89.6,55,20,4.7
33.73,135.98,JP,shingu,64.4,39,40,6.93
-19.06,-169.92,NU,alofi,82.4,83,100,6.93
60.47,166.1,RU,tilichiki,20.21,89,100,11.1
-20.32,118.57,AU,port hedland,102.2,33,0,13.87
41.26,125.37,CN,huanren,49.01,48,20,21.74
42.14,21.12,MK,vratnica,41,61,20,2.24
19.18,-102.85,MX,tepalcatepec,66.11,64,0,5.21
28.07,95.33,IN,pasighat,77.27,40,0,5.32
7.99,117.06,PH,balabac,85.55,65,35,13.27
-13.54,23.1,ZM,zambezi,65.93,98,100,4.07
29.03,21.55,LY,jalu,55.31,46,0,9.95
-15.86,-38.88,BR,belmonte,75.2,94,20,2.24
46.33,-0.33,FR,niort,48.2,100,0,2.24
19.43,-72.2,HT,saint-raphael,66.47,93,75,4.27
38.42,-121.42,US,laguna,48.99,81,40,3.09
-2.97,-47.48,BR,paragominas,71.87,99,48,1.97
0.53,72.93,MV,thinadhoo,85.01,75,16,11.56
24.8,125.28,JP,hirara,77,61,20,14.99
26.18,127.76,JP,nishihara,71.6,73,90,14.99
-9.77,37.93,TZ,liwale,76.37,91,97,1.3
56.29,55.86,RU,verkhniye tatyshly,28.67,94,78,9.71
-21.37,55.62,RE,saint-joseph,86,69,40,3.36
-23,27.67,BW,mokobeng,66.11,71,0,9.35
4.65,119.47,PH,ligayan,81.95,70,0,4.92
49.42,130.08,RU,arkhara,31.73,100,100,6.24
66.15,-65.71,CA,pangnirtung,1.67,73,100,17.52
46.42,3.91,FR,saint-francois,45,93,0,1.12
58.3,-134.42,US,juneau,34,86,20,1.39
5.35,48.53,SO,hobyo,83.57,60,89,16.04
43.35,17.35,BA,drinovci,37.4,93,51,3.36
35.77,-91.64,US,batesville,51.8,100,90,4.7
10.35,107.08,VN,vung tau,89.51,47,27,18.86
22.03,96.47,MM,maymyo,91.4,26,20,8.05
51.71,143.23,RU,katangli,32.27,85,96,7.16
15.74,-96.47,MX,pochutla,79,75,34,14.79
38.5,48.67,AZ,astara,42.8,92,90,18.34
60.73,77.59,RU,strezhevoy,28.4,79,90,13.42
7.78,100.32,TH,ranot,82.13,70,24,10.65
26.62,-78.28,BS,high rock,72.77,76,94,12.75
67.67,12.69,NO,sorland,37.4,71,40,19.46
22.27,86.18,IN,rairangpur,84.2,45,75,6.08
-43.25,-65.31,AR,trelew,52.79,73,0,8.75
14.3,-91.92,GT,champerico,79.97,72,82,3.13
-29.66,22.75,ZA,prieska,74.39,51,0,15.39
-34.62,-68.33,AR,san rafael,58.91,42,0,1.74
5.89,95.32,ID,sabang,83.21,73,82,12.91
-0.95,100.35,ID,padang,81.05,75,99,3.2
20.42,104.04,LA,xam nua,85.73,33,22,3.8
-9.45,124.48,ID,kefamenanu,83.39,60,16,8.3
55.74,-97.86,CA,thompson,-11.2,63,5,5.82
-14.8,36.54,MZ,cuamba,72.05,88,20,6.55
30.33,10.85,LY,nalut,56.21,63,65,21.59
23.13,93.07,IN,north vanlaiphai,86.81,16,0,3.94
34.02,44.15,IQ,balad,67.37,61,100,32.26
43.51,123.51,CN,zhengjiatun,52.97,35,82,13.67
-15.77,28.18,ZM,kafue,64.4,93,75,5.82
4.95,-6.08,CI,sassandra,77.81,91,100,7.58
41.54,-8.62,PT,barcelos,55.99,87,0,3.36
-45.58,-72.07,CL,coihaique,44.6,87,3,4.7
-2.88,-41.67,BR,luis correia,73.13,98,55,3.4
-23.94,31.14,ZA,phalaborwa,67.55,71,100,1.81
-25.3,152.85,AU,hervey bay,79,64,90,18.34
36.62,101.77,CN,xining,47.57,25,13,5.12
-35.33,-72.42,CL,constitucion,54.59,76,0,3.85
-9.24,-35.49,BR,passo de camaragibe,77,94,75,2.24
40,41.5,TR,erzurum,32,95,90,11.41
22.62,120.31,TW,kaohsiung,78.8,57,75,10.29
8.3,30.14,SS,ler,89.87,11,92,7.29
31.61,34.76,IL,gat,57.2,54,75,13.87
-20.21,57.76,MU,quatre cocos,82.4,78,40,6.93
47.25,127.08,CN,suileng,31.91,100,100,6.76
60.34,102.28,RU,vanavara,19.13,80,99,12.93
28.17,94.77,IN,along,77.99,36,13,3.94
16.45,-85.85,HN,savannah bight,79.97,77,0,18.25
33.38,74.3,IN,rajauri,45.05,65,88,5.41
20.93,-17.03,MR,nouadhibou,60.8,72,53,24.16
-43.3,-65.1,AR,rawson,59.81,70,0,11.68
27.67,-105.17,MX,camargo,64.67,37,100,8.32
43.27,-7.54,ES,bereda,44.01,100,0,2.24
5.77,101.07,TH,betong,92.39,26,48,5.91
51.38,1.39,GB,margate,48.99,87,30,10.29
54.95,20.23,RU,pionerskiy,46.4,75,90,8.95
-39.2,173.88,NZ,okato,64.99,45,0,4
16.86,-99.89,MX,acapulco,82.4,74,5,4.7
45.95,-66.67,CA,fredericton,32,100,1,5.82
59.64,-151.55,US,homer,35.6,93,90,5.82
-17.73,-149.15,PF,tautira,84.2,74,75,2.24
-28.55,16.43,NA,oranjemund,60.17,90,9,5.91
31.37,-106.02,MX,praxedis guerrero,57.99,66,1,4.7
11.14,123.72,PH,sulangan,81.23,75,44,11.68
61.69,53.69,RU,ust-kulom,29.03,82,100,12.48
-0.88,131.25,ID,sorong,90.59,51,62,6.46
24.47,54.37,AE,abu dhabi,78.8,57,0,14.99
-23.7,133.88,AU,alice springs,95,19,0,8.05
4.93,-52.33,GF,cayenne,75.2,94,49,1.12
53.77,-2.72,GB,preston,46.4,100,75,10.29
20.96,-75.72,CU,banes,66.2,93,5,4.7
34.66,109.23,CN,yanliang,77,7,3,15.66
-34.05,23.37,ZA,plettenberg bay,66.47,74,0,6.89
-7.51,-63.02,BR,humaita,74.75,95,100,1.07
13.1,-59.62,BB,bridgetown,77,73,40,14.99
12.18,-4.08,BF,solenzo,84.29,46,99,3.02
19.75,10.25,NE,agadez,70.43,7,0,6.2
41.9,-84.04,US,adrian,34,65,20,4.36
46.62,10.7,IT,lasa,41,92,0,2.24
